id,produto,quantidade,preço,data
1,Caneta,5,1.50,04/03/2023
2,Caderno,8,3.99,05/03/2023
3,Lápis,3,0.99,06/03/2023
4,Borracha,6,0.75,07/03/2023
5,Régua,4,2.50,08/03/2023
6,Tesoura,2,4.99,09/03/2023
7,Apontador,3,1.25,10/03/2023
8,Livro,4,15.99,11/03/2023
9,Agenda,2,7.99,12/03/2023
10,Marca-texto,1,2.25,13/03/2023
11,Clips,10,0.50,14/03/2023
12,Corretivo líquido,3,3.75,15/03/2023
13,Caneta esferográfica,7,1.00,16/03/2023
14,Papel sulfite,5,4.25,17/03/2023
15,Fita adesiva,2,2.99,18/03/2023
16,Envelope,6,0.30,19/03/2023
17,Grampo de papel,4,0.20,20/03/2023
18,Caixa de arquivo,1,8.50,21/03/2023
19,Pasta suspensa,3,5.75,22/03/2023
20,Agulha,9,0.10,23/03/2023
21,Linha de costura,5,1.50,24/03/2023
22,Tesoura para tecido,2,6.99,25/03/2023
23,Alfinete,8,0.05,26/03/2023
24,Carretel de linha,3,2.25,27/03/2023
25,Agulha de tricô,4,1.75,28/03/2023
26,Caneta para retroprojetor,2,3.50,29/03/2023
27,Apagador para quadro branco,6,1.99,30/03/2023
28,Marca-página,5,0.75,31/03/2023
29,Corretor de texto,1,4.25,01/04/2023
30,Lápis de cor,7,1.99,02/04/2023
31,Bloco de anotações,3,3.50,03/04/2023
32,Pastilha adesiva,4,0.25,04/04/2023
33,Calculadora,2,12.99,05/04/2023
34,Estojo,5,6.50,06/04/2023
35,Prancheta,3,7.99,07/04/2023
36,Porta-canetas,4,4.75,08/04/2023
37,Caneta gel,6,2.50,09/04/2023
38,Marca-texto neon,1,1.75,10/04/2023
39,Compasso,2,3.25,11/04/2023
40,Tesoura escolar,4,1.99,12/04/2023
41,Corretivo em fita,3,2.99,13/04/2023
42,Etiqueta adesiva,8,0.50,14/04/2023
43,Furador de papel,1,5.25,15/04/2023
44,Reglete,5,2.00,16/04/2023
45,Projetor de slides,2,99.99,17/04/2023
46,Caneta hidrográfica,3,1.25,18/04/2023
47,Bobina de fax,4,8.50,19/04/2023
48,Apagador para quadro negro,6,3.99,20/04/2023
49,Carimbo,2,6.75,21/04/2023
50,Agenda telefônica,3,4.25,22/04/2023
51,Grampo de fichário,5,0.35,23/04/2023
52,Almofada para carimbo,1,2.99,24/04/2023
53,Prisma,4,9.50,25/04/2023
54,Tubo de cola,2,3.75,26/04/2023
55,Apagador de tinta,3,5.99,27/04/2023
56,Apontador de lápis,1,1.00,28/04/2023
